Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Kemba Walker,PG,29,BOS,46,46,32.2,7.2,16.8,.429,3.4,8.7,.388,3.8,8.1,.474,.530,3.9,4.5,.866,0.7,3.4,4.1,5.0,1.0,0.5,2.1,1.6,21.8
Lonnie Walker,SG,21,SAS,48,3,14.0,2.2,5.0,.432,0.5,1.3,.381,1.7,3.7,.449,.481,0.8,1.1,.717,0.4,1.7,2.1,0.8,0.5,0.2,0.6,1.2,5.6
Tyrone Wallace,SG,25,ATL,14,0,11.4,1.0,3.1,.318,0.1,1.1,.067,0.9,2.1,.448,.330,0.8,1.2,.647,0.2,1.4,1.6,0.9,0.5,0.1,0.7,1.4,2.9
Taurean Waller-Prince,SF,25,BRK,55,55,29.5,4.5,11.6,.384,2.4,6.9,.352,2.1,4.8,.431,.488,1.0,1.3,.775,0.8,5.3,6.1,2.0,0.9,0.4,2.0,2.4,12.4
Derrick Walton,PG,24,LAC,23,1,9.7,0.7,1.6,.472,0.4,0.9,.429,0.3,0.7,.533,.597,0.3,0.4,.778,0.1,0.6,0.7,1.0,0.2,0.0,0.2,0.8,2.2
Brad Wanamaker,PG,30,BOS,55,0,18.9,2.1,5.1,.420,0.5,1.4,.372,1.6,3.7,.438,.472,1.7,1.9,.922,0.3,1.7,2.0,2.7,0.7,0.2,1.1,1.9,6.5
T.J. Warren,SF,26,IND,54,54,32.3,7.4,14.1,.524,1.1,3.0,.368,6.3,11.1,.567,.564,2.6,3.2,.803,1.0,2.9,3.8,1.4,1.2,0.5,1.2,2.7,18.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P.J. Washington,PF,21,CHO,49,48,30.2,4.5,9.7,.465,1.3,3.4,.383,3.2,6.3,.510,.533,1.6,2.3,.661,0.9,4.6,5.5,2.1,1.0,0.8,1.6,2.7,11.9
Yuta Watanabe,SG,25,MEM,9,0,5.4,0.7,1.6,.429,0.2,0.4,.500,0.4,1.1,.400,.500,0.2,0.4,.500,0.1,0.8,0.9,0.1,0.1,0.1,0.1,0.6,1.8
Tremont Waters,PG,22,BOS,9,0,8.1,1.1,3.1,.357,0.2,1.7,.133,0.9,1.4,.615,.393,0.7,0.7,1.000,0.0,0.8,0.8,1.1,0.6,0.2,0.9,1.1,3.1
Paul Watson,SF-SG,25,TOT,5,0,5.0,0.0,1.6,.000,0.0,0.8,.000,0.0,0.8,.000,.000,0.2,0.4,.500,0.0,0.8,0.8,1.0,0.2,0.2,0.0,0.2,0.2
Paul Watson,SG,25,ATL,2,0,8.5,0.0,3.5,.000,0.0,1.5,.000,0.0,2.0,.000,.000,0.0,0.0,,0.0,1.0,1.0,1.5,0.5,0.0,0.0,0.5,0.0
Paul Watson,SF,25,TOR,3,0,2.7,0.0,0.3,.000,0.0,0.3,.000,0.0,0.0,,.000,0.3,0.7,.500,0.0,0.7,0.7,0.7,0.0,0.3,0.0,0.0,0.3
Quinndary Weatherspoon,SG,23,SAS,1,0,4.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Russell Westbrook,PG,31,HOU,47,47,36.0,10.6,22.7,.466,1.0,4.0,.246,9.6,18.7,.513,.488,5.1,6.4,.788,1.7,6.2,7.9,7.2,1.6,0.3,4.3,3.6,27.2
Coby White,SG,19,CHI,58,0,24.7,4.3,11.3,.380,1.9,5.5,.347,2.4,5.8,.411,.464,1.4,1.9,.771,0.4,3.0,3.5,2.4,0.8,0.1,1.6,1.7,11.9
Derrick White,SG,25,SAS,54,11,23.8,3.4,7.5,.455,0.9,2.6,.362,2.5,5.0,.502,.516,2.3,2.7,.850,0.5,2.6,3.1,3.4,0.6,0.8,1.1,2.0,10.1
Hassan Whiteside,C,30,POR,53,53,30.9,6.6,10.8,.610,0.0,0.1,.500,6.5,10.7,.611,.612,2.6,3.7,.697,4.0,10.1,14.1,1.2,0.4,3.1,1.9,3.0,15.8
Andrew Wiggins,SF-SG,24,TOT,47,47,34.4,8.2,18.4,.448,2.2,6.3,.342,6.1,12.0,.504,.508,3.5,4.9,.717,1.2,3.9,5.1,3.6,0.8,1.0,2.5,2.4,22.1
Andrew Wiggins,SF,24,MIN,42,42,34.6,8.4,18.8,.444,2.2,6.5,.331,6.2,12.3,.505,.502,3.5,4.9,.720,1.1,4.1,5.2,3.7,0.7,0.9,2.5,2.4,22.4
Andrew Wiggins,SG,24,GSW,5,5,32.4,7.2,14.6,.493,2.2,4.6,.478,5.0,10.0,.500,.568,3.2,4.6,.696,1.6,2.6,4.2,3.2,1.8,1.8,2.0,2.2,19.8
Grant Williams,PF,21,BOS,54,4,15.5,1.3,3.2,.421,0.4,1.4,.270,1.0,1.8,.536,.480,0.7,0.9,.725,1.0,1.6,2.6,1.0,0.4,0.6,0.8,2.4,3.7
Johnathan Williams,C,24,WAS,11,5,12.3,1.5,2.3,.640,0.0,0.2,.000,1.5,2.1,.696,.640,0.3,0.5,.600,1.4,2.5,3.9,0.5,0.1,0.5,0.4,1.0,3.2
Kenrich Williams,PF,25,NOP,35,18,22.3,1.4,4.1,.343,0.7,2.7,.260,0.7,1.3,.511,.430,0.3,0.7,.375,1.4,3.7,5.1,1.5,0.7,0.6,0.6,2.3,3.8
Lou Williams,SG,33,LAC,53,8,30.1,6.4,15.5,.413,1.8,5.1,.351,4.6,10.4,.444,.471,5.0,5.8,.866,0.5,2.7,3.2,5.8,0.6,0.2,3.0,1.4,19.6
Marvin Williams,PF,33,TOT,44,1,19.5,2.3,5.0,.450,1.0,2.8,.371,1.2,2.2,.552,.555,1.0,1.2,.865,0.4,2.3,2.7,1.0,0.7,0.5,0.6,1.7,6.6
Marvin Williams,PF,33,CHO,41,1,19.7,2.3,5.1,.448,1.1,2.9,.376,1.2,2.3,.538,.552,1.0,1.2,.860,0.4,2.3,2.7,1.0,0.6,0.5,0.6,1.7,6.7
Marvin Williams,PF,33,MIL,3,0,16.0,1.7,3.3,.500,0.7,2.3,.286,1.0,1.0,1.000,.600,0.7,0.7,1.000,0.7,2.3,3.0,1.0,1.3,0.3,0.3,1.7,4.7
Robert Williams,C,22,BOS,19,1,14.2,1.7,2.6,.673,0.0,0.0,,1.7,2.6,.673,.673,0.4,0.7,.571,1.2,3.4,4.6,1.1,0.9,1.1,0.8,1.8,3.9
Nigel Williams-Goss,PG,25,UTA,9,0,3.1,0.1,0.8,.143,0.0,0.2,.000,0.1,0.6,.200,.143,0.2,0.2,1.000,0.2,0.3,0.6,0.6,0.1,0.1,0.2,0.2,0.4
Zion Williamson,PF,19,NOP,12,12,28.1,8.8,15.1,.586,0.4,1.0,.417,8.4,14.1,.598,.599,4.8,7.8,.606,3.5,3.7,7.2,2.3,0.7,0.4,2.4,1.6,22.8
D.J. Wilson,PF,23,MIL,28,0,8.7,1.2,3.0,.405,0.4,1.6,.239,0.8,1.4,.605,.470,0.2,0.3,.714,0.3,1.7,2.0,0.6,0.0,0.2,0.5,0.8,3.0
Justise Winslow,SF,23,MIA,11,5,32.0,4.5,11.7,.388,0.5,2.5,.222,4.0,9.3,.431,.411,1.6,2.5,.667,1.5,5.2,6.6,4.0,0.6,0.5,2.2,3.5,11.3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Wood,PF,24,DET,55,5,19.5,4.0,7.1,.562,0.8,2.1,.381,3.2,5.1,.636,.617,2.8,3.7,.750,1.5,4.4,5.9,0.8,0.5,0.9,1.2,1.5,11.6
Delon Wright,SG,27,DAL,55,4,21.3,2.8,5.9,.472,0.7,1.7,.375,2.1,4.1,.513,.528,1.1,1.5,.775,1.1,2.8,3.9,3.4,1.1,0.3,1.0,1.3,7.3
Justin Wright-Foreman,PG,22,UTA,1,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thaddeus Young,PF,31,CHI,57,13,24.4,4.2,9.3,.449,1.2,3.4,.365,2.9,5.9,.497,.515,0.6,1.1,.590,1.4,3.4,4.9,1.7,1.3,0.4,1.6,2.1,10.2
Trae Young,PG,21,ATL,52,52,35.4,9.3,20.8,.445,3.5,9.5,.374,5.7,11.3,.504,.530,7.9,9.3,.855,0.6,3.8,4.4,9.2,1.2,0.1,4.9,1.7,30.0
Cody Zeller,C,27,CHO,52,33,23.1,4.4,8.5,.518,0.3,1.4,.239,4.1,7.1,.572,.538,2.0,2.9,.691,2.8,4.4,7.2,1.4,0.7,0.5,1.3,2.5,11.1
Ante Žižić,C,23,CLE,17,0,9.9,1.8,3.1,.596,0.0,0.0,,1.8,3.1,.596,.596,0.8,0.9,.875,0.8,2.4,3.2,0.2,0.4,0.2,0.4,1.2,4.5
Ivica Zubac,C,22,LAC,56,54,17.9,3.2,5.4,.596,0.0,0.0,.000,3.2,5.4,.600,.596,1.6,2.2,.738,2.6,4.5,7.2,1.1,0.2,1.0,0.9,2.4,8.0
